second,Volt
+630.000E-06,+8.884375095E+00
+632.000E-06,+8.814062595E+00
+634.000E-06,+8.755468845E+00
+636.000E-06,+8.689062595E+00
+638.000E-06,+8.630468845E+00
+640.000E-06,+8.571875095E+00
+642.000E-06,+8.509375095E+00
+644.000E-06,+8.442968845E+00
+646.000E-06,+8.372656345E+00
+648.000E-06,+8.310156345E+00
+650.000E-06,+8.247656345E+00
+652.000E-06,+8.173437595E+00
+654.000E-06,+8.114843845E+00
+656.000E-06,+8.048437595E+00
+658.000E-06,+7.978125095E+00
+660.000E-06,+7.907812595E+00
+662.000E-06,+7.833593845E+00
+664.000E-06,+7.771093845E+00
+666.000E-06,+7.704687595E+00
+668.000E-06,+7.642187595E+00
+670.000E-06,+7.575781345E+00
+672.000E-06,+7.509375095E+00
+674.000E-06,+7.450781345E+00
+676.000E-06,+7.388281345E+00
+678.000E-06,+7.325781345E+00
+680.000E-06,+7.259375095E+00
+682.000E-06,+7.189062595E+00
+684.000E-06,+7.122656345E+00
+686.000E-06,+7.060156345E+00
+688.000E-06,+6.997656345E+00
+690.000E-06,+6.923437595E+00
+692.000E-06,+6.860937595E+00
+694.000E-06,+6.790625095E+00
+696.000E-06,+6.720312595E+00
+698.000E-06,+6.653906345E+00
+700.000E-06,+6.591406345E+00
+702.000E-06,+6.517187595E+00
+704.000E-06,+6.450781345E+00
+706.000E-06,+6.384375095E+00
+708.000E-06,+6.321875095E+00
+710.000E-06,+6.251562595E+00
+712.000E-06,+6.196875095E+00
+714.000E-06,+6.138281345E+00
+716.000E-06,+6.067968845E+00
+718.000E-06,+6.001562595E+00
+720.000E-06,+5.939062595E+00
+722.000E-06,+5.868750095E+00
+724.000E-06,+5.802343845E+00
+726.000E-06,+5.739843845E+00
+728.000E-06,+5.677343845E+00
+730.000E-06,+5.614843845E+00
+732.000E-06,+5.544531345E+00
+734.000E-06,+5.478125095E+00
+736.000E-06,+5.407812595E+00
+738.000E-06,+5.349218845E+00
+740.000E-06,+5.286718845E+00
+742.000E-06,+5.220312595E+00
+744.000E-06,+5.157812595E+00
+746.000E-06,+5.095312595E+00
+748.000E-06,+5.028906345E+00
+750.000E-06,+4.970312595E+00
+752.000E-06,+4.907812595E+00
+754.000E-06,+4.849218845E+00
+756.000E-06,+4.790625095E+00
+758.000E-06,+4.728125095E+00
+760.000E-06,+4.661718845E+00
+762.000E-06,+4.607031345E+00
+764.000E-06,+4.544531345E+00
+766.000E-06,+4.489843845E+00
+768.000E-06,+4.431250095E+00
+770.000E-06,+4.372656345E+00
+772.000E-06,+4.310156345E+00
+774.000E-06,+4.251562595E+00
+776.000E-06,+4.208593845E+00
+778.000E-06,+4.153906345E+00
+780.000E-06,+4.091406345E+00
+782.000E-06,+4.032812595E+00
+784.000E-06,+3.974218845E+00
+786.000E-06,+3.919531345E+00
+788.000E-06,+3.860937595E+00
+790.000E-06,+3.806250095E+00
+792.000E-06,+3.751562595E+00
+794.000E-06,+3.696875095E+00
+796.000E-06,+3.638281345E+00
+798.000E-06,+3.587500095E+00
+800.000E-06,+3.536718845E+00
+802.000E-06,+3.482031345E+00
+804.000E-06,+3.427343845E+00
+806.000E-06,+3.376562595E+00
+808.000E-06,+3.321875095E+00
+810.000E-06,+3.271093845E+00
+812.000E-06,+3.224218845E+00
+814.000E-06,+3.173437595E+00
+816.000E-06,+3.122656345E+00
+818.000E-06,+3.067968845E+00
+820.000E-06,+3.017187595E+00
+822.000E-06,+2.962500095E+00
+824.000E-06,+2.911718845E+00
+826.000E-06,+2.864843845E+00
+828.000E-06,+2.817968845E+00
+830.000E-06,+2.771093845E+00
+832.000E-06,+2.732031345E+00
+834.000E-06,+2.685156345E+00
+836.000E-06,+2.638281345E+00
+838.000E-06,+2.595312595E+00
+840.000E-06,+2.544531345E+00
+842.000E-06,+2.501562595E+00
+844.000E-06,+2.462500095E+00
+846.000E-06,+2.423437595E+00
+848.000E-06,+2.380468845E+00
+850.000E-06,+2.337500095E+00
+852.000E-06,+2.298437595E+00
+854.000E-06,+2.259375095E+00
+856.000E-06,+2.220312595E+00
+858.000E-06,+2.181250095E+00
+860.000E-06,+2.138281345E+00
+862.000E-06,+2.099218845E+00
+864.000E-06,+2.064062595E+00
+866.000E-06,+2.025000095E+00
+868.000E-06,+1.989843845E+00
+870.000E-06,+1.942968845E+00
+872.000E-06,+1.907812595E+00
+874.000E-06,+1.872656345E+00
+876.000E-06,+1.841406345E+00
+878.000E-06,+1.802343845E+00
+880.000E-06,+1.771093845E+00
+882.000E-06,+1.735937595E+00
+884.000E-06,+1.704687595E+00
