second,Volt,Volt2
-126.001E-06,+2.557500020E+00,+257.503942E-03
-125.001E-06,+2.557500020E+00,+257.500004E-03
-124.001E-06,+2.402596118E+00,+263.746129E-03
-123.001E-06,+2.712309371E+00,+257.503848E-03
-122.001E-06,+2.557594570E+00,+257.500004E-03
-121.001E-06,+2.712406246E+00,+257.500004E-03
-120.001E-06,+2.402686018E+00,+257.500004E-03
-119.001E-06,+2.557407795E+00,+263.746285E-03
-118.001E-06,+2.402591468E+00,+257.503692E-03
-117.001E-06,+2.402500018E+00,+263.746348E-03
-116.001E-06,+2.402500018E+00,+257.503629E-03
-115.001E-06,+2.402500018E+00,+257.500004E-03
-114.001E-06,+2.557411670E+00,+257.500004E-03
-113.001E-06,+2.557500020E+00,+257.500004E-03
-112.001E-06,+2.402586818E+00,+257.500004E-03
-111.001E-06,+2.557413995E+00,+257.500004E-03
-110.001E-06,+2.402585268E+00,+257.500004E-03
-109.001E-06,+2.402500018E+00,+263.746598E-03
-108.001E-06,+2.557416320E+00,+257.503379E-03
-107.001E-06,+2.402582943E+00,+263.746660E-03
-106.001E-06,+2.557417870E+00,+263.750004E-03
-105.001E-06,+2.557500020E+00,+263.750004E-03
-104.001E-06,+2.402580618E+00,+257.503254E-03
-103.001E-06,+2.557420195E+00,+263.746785E-03
-102.001E-06,+2.402579068E+00,+263.750004E-03
-101.001E-06,+2.402500018E+00,+257.503160E-03
-100.000E-06,+2.402500018E+00,+257.500004E-03
-99.000E-06,+2.557423295E+00,+257.500004E-03
-98.000E-06,+2.402575968E+00,+257.500004E-03
-97.000E-06,+2.402500018E+00,+257.500004E-03
-96.000E-06,+2.557425620E+00,+257.500004E-03
-95.000E-06,+2.557500020E+00,+263.747035E-03
-94.000E-06,+2.402572868E+00,+257.502942E-03
-93.000E-06,+2.557427945E+00,+263.747098E-03
-92.000E-06,+2.402571318E+00,+251.255754E-03
-91.000E-06,+2.402500018E+00,+257.497160E-03
-90.000E-06,+2.557430270E+00,+263.747192E-03
-89.000E-06,+2.557500020E+00,+257.502785E-03
-88.000E-06,+2.557500020E+00,+263.747254E-03
-87.000E-06,+2.557500020E+00,+269.997285E-03
-86.000E-06,+2.557500020E+00,+263.752692E-03
-85.000E-06,+2.557500020E+00,+257.502660E-03
-84.000E-06,+2.557500020E+00,+257.500004E-03
-83.000E-06,+2.557500020E+00,+251.252598E-03
-82.000E-06,+2.402563568E+00,+257.497442E-03
-81.000E-06,+2.402500018E+00,+257.500004E-03
-80.000E-06,+2.402500018E+00,+257.500004E-03
-79.000E-06,+2.402500018E+00,+263.747535E-03
-78.000E-06,+2.402500018E+00,+257.502442E-03
-77.000E-06,+2.402500018E+00,+251.252410E-03
-76.000E-06,+2.402500018E+00,+257.497629E-03
-75.000E-06,+2.712383771E+00,+257.500004E-03
-74.000E-06,+2.402614718E+00,+251.252316E-03
-73.000E-06,+2.557443445E+00,+257.497723E-03
-72.000E-06,+2.402555818E+00,+257.500004E-03
-71.000E-06,+2.402500018E+00,+257.500004E-03
-70.000E-06,+2.402500018E+00,+263.747817E-03
-69.000E-06,+2.557446545E+00,+257.502160E-03
-68.000E-06,+2.557500020E+00,+257.500004E-03
-67.000E-06,+2.402551943E+00,+257.500004E-03
-66.000E-06,+2.557448870E+00,+257.500004E-03
-65.000E-06,+2.557500020E+00,+257.500004E-03
-64.000E-06,+2.402549618E+00,+257.500004E-03
-63.000E-06,+2.402500018E+00,+257.500004E-03
-62.000E-06,+2.402500018E+00,+263.748067E-03
-61.000E-06,+2.402500018E+00,+257.501910E-03
-60.000E-06,+2.402500018E+00,+257.500004E-03
-59.000E-06,+2.557454295E+00,+257.500004E-03
-58.000E-06,+2.402544968E+00,+251.251816E-03
-57.000E-06,+2.402500018E+00,+257.498223E-03
-56.000E-06,+2.402500018E+00,+257.500004E-03
-55.000E-06,+2.557457395E+00,+269.996567E-03
-54.000E-06,+2.557500020E+00,+257.503379E-03
-53.000E-06,+2.402541093E+00,+257.500004E-03
-52.000E-06,+2.402500018E+00,+257.500004E-03
-51.000E-06,+2.557460495E+00,+257.500004E-03
-50.000E-06,+2.402538768E+00,+251.251566E-03
-49.000E-06,+2.402500018E+00,+257.498473E-03
-48.000E-06,+2.557462820E+00,+257.500004E-03
-47.000E-06,+2.402536443E+00,+251.251473E-03
-46.000E-06,+2.402500018E+00,+257.498567E-03
-45.000E-06,+2.557465145E+00,+257.500004E-03
-44.000E-06,+2.402534118E+00,+257.500004E-03
-43.000E-06,+2.402500018E+00,+257.500004E-03
-42.000E-06,+2.402500018E+00,+257.500004E-03
-41.000E-06,+2.402500018E+00,+257.500004E-03
-40.000E-06,+2.402500018E+00,+257.500004E-03
-39.000E-06,+2.402500018E+00,+251.251223E-03
-38.000E-06,+2.402500018E+00,+257.498817E-03
-37.000E-06,+2.402500018E+00,+257.500004E-03
-36.000E-06,+2.402500018E+00,+263.748879E-03
-35.000E-06,+2.402500018E+00,+257.501098E-03
-34.000E-06,+2.402500018E+00,+257.500004E-03
-33.000E-06,+2.402500018E+00,+251.251035E-03
-32.000E-06,+2.402500018E+00,+257.499004E-03
-31.000E-06,+2.402500018E+00,+257.500004E-03
-30.000E-06,+2.402500018E+00,+257.500004E-03
-29.000E-06,+2.402500018E+00,+263.749098E-03
-28.000E-06,+2.402500018E+00,+251.251754E-03
-27.000E-06,+2.402500018E+00,+257.499160E-03
-26.000E-06,+2.402500018E+00,+257.500004E-03
-25.000E-06,+2.402500018E+00,+257.500004E-03
-24.000E-06,+2.402500018E+00,+257.500004E-03
-23.000E-06,+2.402500018E+00,+257.500004E-03
-22.000E-06,+2.402500018E+00,+251.250691E-03
-21.000E-06,+2.402500018E+00,+257.499348E-03
-20.000E-06,+2.557484520E+00,+257.500004E-03
-19.000E-06,+2.402514743E+00,+257.500004E-03
-18.000E-06,+2.402500018E+00,+257.500004E-03
-17.000E-06,+2.402500018E+00,+263.749473E-03
-16.000E-06,+2.402500018E+00,+257.500504E-03
-15.000E-06,+2.402500018E+00,+251.250473E-03
-14.000E-06,+2.402500018E+00,+257.499567E-03
-13.000E-06,+2.402500018E+00,+257.500004E-03
